,f_ml,f_v1,ml,v1
1,0.202027829,-0.121287753,0.255,-0.06
2,0.199167064,-0.124544386,0.27,-0.04
3,0.199014423,-0.126161511,0.275,-0.02
4,0.200099103,-0.123894293,0.235,-0.03
5,0.19951919,-0.116348791,0.235,-0.055
6,0.193952016,-0.103405475,0.225,-0.075
7,0.180873914,-0.086236484,0.23,-0.055
8,0.159554368,-0.066922289,0.205,-0.005
9,0.131458688,-0.047800943,0.195,0.035
10,0.099894829,-0.030764615,0.15,0.04
11,0.069004019,-0.016728368,0.12,0.045
12,0.042428948,-0.005433542,0.095,0.075
13,0.022114359,0.004365047,0.095,0.1
14,0.007658973,0.014404223,0.085,0.09
15,-0.003544598,0.026282363,0.065,0.09
16,-0.01541217,0.040903332,0.025,0.115
17,-0.031802486,0.058170835,0,0.11
18,-0.05513701,0.077020468,-0.02,0.15
19,-0.08546813,0.095762813,-0.03,0.175
20,-0.120311903,0.112610722,-0.035,0.21
21,-0.155307501,0.12621011,-0.06,0.235
22,-0.18549095,0.136002025,-0.09,0.22
23,-0.206768631,0.142308833,-0.13,0.205
24,-0.217113844,0.146134809,-0.13,0.2
25,-0.21710713,0.148766873,-0.13,0.215
26,-0.209662857,0.151322663,-0.125,0.235
27,-0.199054362,0.154401304,-0.125,0.245
28,-0.189576063,0.157947145,-0.135,0.24
29,-0.184288369,0.161356401,-0.13,0.235
30,-0.18424672,0.163770778,-0.14,0.235
31,-0.188438731,0.164440671,-0.12,0.26
32,-0.194406913,0.163023912,-0.125,0.265
33,-0.199304546,0.159717777,-0.13,0.255
34,-0.200996675,0.155188516,-0.18,0.255
35,-0.198820356,0.150338465,-0.195,0.235
36,-0.193753208,0.146008113,-0.18,0.23
37,-0.187956556,0.142729024,-0.15,0.23
38,-0.183881567,0.140617864,-0.145,0.245
39,-0.183276631,0.139442863,-0.155,0.25
40,-0.18646173,0.138824721,-0.16,0.245
41,-0.192133996,0.138480682,-0.18,0.245
42,-0.197776272,0.138403374,-0.19,0.25
43,-0.200526057,0.138891677,-0.185,0.245
